Time,Longitude,Latitude,Altitude,Velocity,Density,HeatFlux,geometry
0.0,110.0,-20.0,120000.0,7781.455326325239,9.055655105825188e-07,63755.883963863416,POINT (110 -20)
1.0025062656641603,109.93734335839599,-19.924812030075188,119566.94949970274,7780.985867482341,9.528969254230451e-07,65388.99938732937,POINT (109.93734335839599 -19.924812030075188)
2.0050125313283207,109.87468671679198,-19.849624060150376,119133.90571109635,7780.504555246675,1.0027014311979113e-06,67063.61355999539,POINT (109.87468671679198 -19.849624060150376)
3.007518796992481,109.81203007518798,-19.774436090225564,118700.87534576771,7780.011091918794,1.0551073736840041e-06,68780.73727778599,POINT (109.81203007518798 -19.774436090225564)
4.010025062656641,109.74937343358395,-19.69924812030075,118267.86511509566,7779.505172403861,1.1102496698583172e-06,70541.40367745423,POINT (109.74937343358395 -19.69924812030075)
5.012531328320802,109.68671679197995,-19.62406015037594,117834.88173014692,7778.986484032114,1.168270137289854e-06,72346.66862546586,POINT (109.68671679197995 -19.62406015037594)
6.015037593984962,109.62406015037594,-19.548872180451127,117401.93190157224,7778.45470637518,1.2293178395460845e-06,74197.61110868803,POINT (109.62406015037594 -19.548872180451127)
7.017543859649122,109.56140350877193,-19.473684210526315,116969.02233950217,7777.909511058164,1.2935494483598122e-06,76095.33362660531,POINT (109.56140350877193 -19.473684210526315)
8.020050125313283,109.49874686716792,-19.398496240601503,116536.1597534433,7777.35056156743,1.3611296233347586e-06,78040.96258476151,POINT (109.49874686716792 -19.398496240601503)
9.022556390977442,109.43609022556392,-19.32330827067669,116103.35085217407,7776.777513053975,1.4322314100023487e-06,80035.64868911225,POINT (109.43609022556392 -19.32330827067669)
10.025062656641603,109.3734335839599,-19.24812030075188,115670.60234364093,7776.190012132315,1.5070366570773174e-06,82080.56734094785,POINT (109.3734335839599 -19.24812030075188)
11.027568922305765,109.31077694235589,-19.172932330827066,115237.9209348543,7775.587696674805,1.5857364537965084e-06,84176.91903202681,POINT (109.31077694235589 -19.172932330827066)
12.030075187969924,109.24812030075188,-19.097744360902254,114805.31333178464,7774.970195601278,1.6685315882633947e-06,86325.92973953774,POINT (109.24812030075188 -19.097744360902254)
13.032581453634084,109.18546365914787,-19.022556390977442,114372.78623925854,7774.337128663943,1.755633027760416e-06,88528.85132048339,POINT (109.18546365914787 -19.022556390977442)
14.035087719298245,109.12280701754386,-18.94736842105263,113940.3463608548,7773.688106227426,1.8472624220324136e-06,90786.96190505676,POINT (109.12280701754386 -18.94736842105263)
15.037593984962406,109.06015037593986,-18.872180451127818,113508.00039880049,7773.02272904387,1.9436526305871633e-06,93101.56628855303,POINT (109.06015037593986 -18.872180451127818)
16.040100250626566,108.99749373433583,-18.796992481203006,113075.75505386712,7772.340588023007,2.0450482751033725e-06,95473.99632133583,POINT (108.99749373433583 -18.796992481203006)
17.042606516290725,108.93483709273183,-18.721804511278194,112643.61702526677,7771.641263997098,2.151706318082604e-06,97905.61129634765,POINT (108.93483709273183 -18.721804511278194)
18.045112781954884,108.87218045112782,-18.646616541353385,112211.59301054825,7770.924327480652,2.2638966689292627e-06,100397.79833362516,POINT (108.87218045112782 -18.646616541353385)
19.047619047619047,108.80952380952381,-18.571428571428573,111779.68970549334,7770.189338424829,2.3819028186925696e-06,102951.972761253,POINT (108.80952380952381 -18.571428571428573)
20.050125313283207,108.7468671679198,-18.49624060150376,111347.91380401295,7769.435845966425,2.5060225047556386e-06,105569.57849215448,POINT (108.7468671679198 -18.49624060150376)
21.052631578947366,108.6842105263158,-18.42105263157895,110916.27199804345,7768.66338817135,2.636568406810299e-06,108252.08839608896,POINT (108.6842105263158 -18.42105263157895)
22.05513784461153,108.62155388471177,-18.345864661654137,110484.77097744287,7767.871491772495,2.773868875511463e-06,111001.00466618981,POINT (108.62155388471177 -18.345864661654137)
23.05764411027569,108.55889724310777,-18.270676691729324,110053.4174298873,7767.059671901901,2.9182686952621945e-06,113817.85917934304,POINT (108.55889724310777 -18.270676691729324)
24.06015037593985,108.49624060150376,-18.195488721804512,109622.21804076714,7766.2274318171185,3.070129882640057e-06,116704.21384967162,POINT (108.49624060150376 -18.195488721804512)
25.062656641604008,108.43358395989975,-18.1203007518797,109191.17949308363,7765.374262621666,3.2298325220365706e-06,119661.66097434756,POINT (108.43358395989975 -18.1203007518797)
26.065162907268167,108.37092731829574,-18.045112781954888,108760.30846734512,7764.499642979503,3.3977756401457698e-06,122691.82357092576,POINT (108.37092731829574 -18.045112781954888)
27.06766917293233,108.30827067669173,-17.969924812030076,108329.61164146362,7763.603038823383,3.574378121003189e-06,125796.35570533879,POINT (108.30827067669173 -17.969924812030076)
28.07017543859649,108.24561403508773,-17.894736842105264,107899.09569065127,7762.683903057043,3.7600796633453195e-06,128976.9428096634,POINT (108.24561403508773 -17.894736842105264)
29.07268170426065,108.1829573934837,-17.81954887218045,107468.76728731694,7761.7416752510735,3.9553417821299656e-06,132235.3019887168,POINT (108.1829573934837 -17.81954887218045)
30.075187969924812,108.1203007518797,-17.74436090225564,107038.63310096269,7760.77578133242,4.160648856131013e-06,135573.1823145019,POINT (108.1203007518797 -17.74436090225564)
31.07769423558897,108.05764411027569,-17.669172932330827,106608.69979808055,7759.785633267388,4.376509223596551e-06,138992.36510746914,POINT (108.05764411027569 -17.669172932330827)
32.08020050125313,107.99498746867168,-17.593984962406015,106178.9740420491,7758.770628738078,4.6034563280375354e-06,142494.66420351886,POINT (107.99498746867168 -17.593984962406015)
33.08270676691729,107.93233082706767,-17.518796992481203,105749.46249303024,7757.730150812133,4.8420499162946385e-06,146081.9262056153,POINT (107.93233082706767 -17.518796992481203)
34.08521303258145,107.86967418546367,-17.44360902255639,105320.17180786593,7756.663567605731,5.092877291114528e-06,149756.0307188358,POINT (107.86967418546367 -17.44360902255639)
35.08771929824561,107.80701754385964,-17.36842105263158,104891.10863997511,7755.570231939703,5.356554620552495e-06,153518.89056761737,POINT (107.80701754385964 -17.36842105263158)
36.09022556390977,107.74436090225564,-17.293233082706767,104462.27963925041,7754.449480988709,5.633728306607807e-06,157372.4519939222,POINT (107.74436090225564 -17.293233082706767)
37.092731829573935,107.68170426065163,-17.218045112781954,104033.69145195527,7753.300635923368,5.925076415589139e-06,161318.69483497005,POINT (107.68170426065163 -17.218045112781954)
38.095238095238095,107.61904761904762,-17.142857142857142,103605.35072062082,7752.123001545255,6.231310172802817e-06,165359.632679143,POINT (107.61904761904762 -17.142857142857142)
39.097744360902254,107.55639097744361,-17.06766917293233,103177.26408394295,7750.915865914694,6.553175524253463e-06,169497.31299859544,POINT (107.55639097744361 -17.06766917293233)
40.100250626566414,107.4937343358396,-16.992481203007518,102749.43817667947,7749.6784999712445,6.891454768147929e-06,173733.81725705057,POINT (107.4937343358396 -16.992481203007518)
41.10275689223057,107.43107769423558,-16.917293233082706,102321.87962954721,7748.410157146813,7.246968259096419e-06,178071.26099119117,POINT (107.43107769423558 -16.917293233082706)
